Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8" fat, choice, raw	13	16
Lamb, variety meats and by-products, tongue, raw	11	11
Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8" fat, select, raw	13	16
Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13	18
Fish, salmon, sockeye, canned, without salt, drained solids with bone	15	14
Ostrich, tip trimmed, raw	13	17
Fish, salmon, pink, canned, total can contents	14	14
Chicken, broilers or fryers, neck, meat only, cooked, simmered	14	17
Game meat, moose, cooked, roasted	14	22
Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8" fat, raw	13	16
Baking chocolate, unsweetened, liquid	9	7
Soybeans, mature seeds, roasted, salted	9	30
Babyfood, cereal, mixed, with applesauce and bananas, strained	5	1
English muffins, plain, enriched, without calcium propionate(includes sourdough)	8	3
Egg, white, raw, frozen, pasteurized	12	7
Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)	22	2
Beef, chuck, clod roast, separable lean and fat, trimmed to 0" fat, select, cooked, roasted	14	21
Crustaceans, spiny lobster, mixed species, cooked, moist heat	10	25
Spices, ginger, ground	3	7
Beef, New Zealand, imported, tenderloin, separable lean only, cooked, fast fried	12	22
Cake, snack cakes, creme-filled, sponge	11	2
Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw	13	15
Snacks, pretzels, hard, plain, made with enriched flour, unsalted	6	4
Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, choice, cooked	15	17
Mustard, prepared, yellow	10	3
Chicken, liver, all classes, cooked, simmered	12	17
Puddings, rice, dry mix, prepared with whole milk	21	1
Veal, shoulder, blade chop, separable lean only, cooked, grilled	14	18
Cauliflower, green, cooked, with salt	11	2
Turkey, ground, 85% lean, 15% fat, patties, broiled	12	21
Cookies, chocolate sandwich, with creme filling, special dietary	10	2
Squash, winter, all varieties, cooked, baked, with salt	8	0
TACO BELL, Taco Salad	13	4
Turkey, whole, light meat, meat and skin, cooked, roasted	14	19
Pork, loin, leg cap steak, boneless, separable lean and fat, cooked, broiled	14	20
Cheese food, cold pack, American	24	10
Frostings, chocolate, creamy, dry mix, prepared with butter	10	1
Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised	14	19
Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip	3	11
Chicken, broilers or fryers, wing, meat and skin, cooked, stewed	12	16
Beef, rib eye steak, boneless, lip off, separable lean only, trimmed to 0" fat, choice, cooked, grilled	14	22
Apricots, canned, light syrup pack, with skin, solids and liquids	15	0
Beef, round, bottom round, steak, separable lean only, trimmed to 0" fat, all grades, cooked, braised	13	25
Potatoes, frozen, whole, cooked, boiled, drained, without salt	13	1
Beef, New Zealand, imported, chuck eye roll, separable lean only, cooked, braised	12	24
Cucumber, with peel, raw	5	0
Broccoli, cooked, boiled, drained, with salt	7	2
Fish, seatrout, mixed species, raw	15	12
Seeds, cottonseed flour, low fat (glandless)	4	70
Mushrooms, oyster, raw	7	2
Snacks, pork skins, barbecue-flavor	6	48
Mollusks, mussel, blue, raw	10	9
Fast foods, sundae, strawberry	21	2
Gelatin desserts, dry mix	5	7
Cookies, brownies, commercially prepared	10	3
Beef, New Zealand, imported, flank, separable lean and fat, raw	12	15
Lamb, Australian, imported, fresh, seam fat, cooked	13	9
Sugar-apples, (sweetsop), raw	+Inf	0
Beef, round, eye of round steak, boneless, separable lean only, trimmed to 0" fat, choice, cooked, grilled	14	24
Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D	30	1
BURGER KING, DOUBLE WHOPPER, no cheese	12	9
Cauliflower, green, cooked, no salt added	11	2
Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt	7	0
Beef, round, top round roast, boneless, separable lean only, trimmed to 0" fat, select, raw	14	22
Fish, mullet, striped, raw	15	13
Pie crust, standard-type, frozen, ready-to-bake, enriched	8	2
Ice creams, vanilla	21	1
Fish, croaker, Atlantic, cooked, breaded and fried	15	12
Yardlong bean, raw	9	2
Soup, chicken vegetable, canned, condensed	14	1
Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids	7	5
Yogurt, plain, low fat	31	2
Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, with salt	11	1
Lasagna, Vegetable, frozen, baked	16	2
Nuts, chestnuts, chinese, dried	5	7
Cornmeal, whole-grain, yellow	5	4
Cookies, brownies, dry mix, sugar free	8	1
Persimmons, japanese, raw	15	0
Pate, liver, not specified, canned	9	10
Pie crust, standard-type, dry mix	6	2
Fish, mackerel, king, raw	15	14
Beans, white, mature seeds, cooked, boiled, without salt	11	7
Beef, short loin, porterhouse steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	14	19
Crackers, melba toast, plain	7	5
Beef, chuck eye steak, boneless, separable lean only, trimmed to 0" fat, choice, raw	13	16
Beef, round, top round roast, boneless, separable lean and fat, trimmed to 0" fat, select, raw	14	19
Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted	14	22
Turnip greens and turnips, frozen, cooked, boiled, drained, with salt	11	2
Beans, white, mature seeds, raw	11	16
Sausage, smoked link sausage, pork	12	16
Veal, ground, cooked, broiled	14	16
PLANT PROTEIN POWDER BLEND, VANILLA	9	59
Beef, round, top round steak, boneless, separable lean only, trimmed to 0" fat, select, raw	14	22
Snacks, granola bars, hard, plain	6	7
Lamb, New Zealand, imported, square-cut shoulder, separable lean only, cooked, slow roasted	13	19
APPLEBEE'S, crunchy onion rings	3	2
Tofu, fried, prepared with calcium sulfate	6	16
Orange juice, chilled, includes from concentrate, with added calcium	2	1
Kale, frozen, cooked, boiled, drained, with salt	11	2
Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled	14	20
Waffles, chocolate chip, frozen, ready-to-heat	7	2
Beef, brisket, flat half, separable lean only, trimmed to 1/8" fat, choice, cooked, braised	13	24
Beef, flank, steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13	20
Crackers, cheese, regular	11	4
Beef, variety meats and by-products, liver, cooked, pan-fried	13	18
Chili, no beans, canned entree	10	4
Beans, pink, mature seeds, cooked, boiled, without salt	11	6
Buckwheat groats, roasted, cooked	7	3
Tomatoes, red, ripe, canned, stewed	15	0
Fish, fish sticks, frozen, prepared	13	7
NATURADE, N.R.G, PROTEIN BOOSTER, VANILLA	10	56
Squash, winter, acorn, raw	5	0
Beef, round, eye of round steak, boneless, separable lean and fat, trimmed to 0" fat, choice, cooked, grilled	14	23
Pie crust, standard-type, frozen, ready-to-bake, unenriched	10	2
Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only, trimmed to 1/8" fat, cooked, broiled	15	16
Couscous, cooked	5	1
Fish, tuna, fresh, bluefin, raw	15	16
Cookies, vanilla wafers, higher fat	6	2
Beef, New Zealand, imported, eye round, separable lean and fat, raw	12	15
Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised	14	20
Potato puffs, frozen, unprepared	10	1
Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4" fat, choice, raw	15	11
Wheat flour, white, all-purpose, unenriched	5	4
Cheesefurter, cheese smokie, pork, beef	14	10
Beef, loin, tenderloin roast, boneless, separable lean only, trimmed to 0" fat, all grades, cooked, roasted	14	23
Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8" fat, all grades, raw	14	18
Succotash, (corn and limas), raw	10	3
Potatoes, mashed, home-prepared, whole milk and butter added	14	1
Polish sausage, pork	12	10
Mutton, cooked, roasted (Navajo)	14	25
Turkey, back, from whole bird, meat only, with added solution, roasted	15	12
Muffins, English, plain, toasted, enriched, with calcium propionate (includes sourdough)	11	5
Kohlrabi, cooked, boiled, drained, with salt	5	1
Fish, surimi	14	11
Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8" fat, choice, cooked, grilled	14	22
Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0" fat, select, raw	13	15
Fast Food, Pizza Chain, 14" pizza, meat and vegetable topping, regular crust	12	6
Croutons, plain	6	5
Peas and onions, frozen, cooked, boiled, drained, with salt	7	2
Pork, cured, ham, extra lean and regular, canned, roasted	14	15
Pheasant, leg, meat only, raw	15	16
PROTEIN & GREENS DRINK MIX POWDER	9	59
Lamb, ground, raw	15	11
Lamb, leg, sirloin half, separable lean and fat, trimmed to 1/4" fat, choice, cooked, roasted	15	17
Nuts, chestnuts, japanese, roasted	10	2
Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0" fat, select, cooked, roasted	13	17
Fish, salmon, sockeye, raw	15	17
Cereals, CREAM OF RICE, dry	5	5
Buckwheat	7	10
Restaurant, family style, sirloin steak	12	23
Rice noodles, cooked	4	2
Pork, fresh, separable fat, raw	14	7
Restaurant, Latino, pupusas del cerdo (pupusas, pork)	12	7
Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled	15	16
Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled	14	21
Turnips, cooked, boiled, drained, with salt	20	0
Veal, seam fat only, cooked	14	7
Cookies, raisin, soft-type	10	2
Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt	5	5
Beef, chuck, arm pot roast, separable lean and fat, trimmed to 0" fat, all grades, cooked, braised	13	21
Snacks, brown rice chips	5	6
Soup, turkey vegetable, canned, prepared with equal volume water	12	1
Turkey breast, low salt, prepackaged or deli, luncheon meat	13	13
Beef, New Zealand, imported, chuck eye roll, separable lean only, raw	12	24
Lasagna, cheese, frozen, prepared	16	3
Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0" fat, select, raw	14	18
Soup, chicken noodle, dry, mix	9	10
Fast foods, burrito, with beans, cheese, and beef	9	3
Nuts, mixed nuts, dry roasted, with peanuts, with salt added	3	23
Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8" fat, select, cooked, braised	13	19
Squash, winter, butternut, cooked, baked, with salt	6	1
Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8" fat, raw	15	14
Beef, Australian, imported, Wagyu, loin, top loin steak/roast, boneless, separable lean only, Aust. marble score 4/5, raw	13	15
Fish, trout, rainbow, farmed, cooked, dry heat	15	17
CRACKER BARREL, steak fries	7	2
Peanut butter, chunk style, without salt	2	28
Cheese, low-sodium, cheddar or colby	22	10
Beef, variety meats and by-products, tongue, raw	12	11
Game meat, bison, ribeye, separable lean only, trimmed to 0" fat, raw	13	15
Beef, round, top round roast, boneless, separable lean only, trimmed to 0" fat, choice, raw	14	19
Milk, dry, nonfat, instant, without added vitamin A and vitamin D	22	15
Cookies, brownies, prepared from recipe	7	5
Fish, trout, mixed species, raw	15	14
Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0" fat, select, raw	14	21
Spinach, raw	11	2
Puddings, lemon, dry mix, instant, prepared with whole milk	22	1
Pork, fresh, variety meats and by-products, jowl, raw	8	7
Beef, brisket, flat half, separable lean only, trimmed to 0" fat, choice, cooked, braised	13	24
Turkey, retail parts, thigh, meat only, raw	16	15
Soup, tomato beef with noodle, canned, condensed	14	2
Lotus root, cooked, boiled, drained, without salt	10	1
Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked	14	20
Cookie, chocolate, with icing or coating	7	2
Chicken, stewing, dark meat, meat only, raw	14	13
Spices, parsley, dried	12	20
Pork, fresh, loin, sirloin (roasts), boneless, separable lean only, cooked, roasted	14	22
Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0" fat, all grades, cooked, grilled	14	23
Beerwurst, beer salami, pork	13	9
Beef, rib, shortribs, separable lean and fat, choice, cooked, braised	13	16
Fish, eel, mixed species, raw	15	13
Beans, baked, canned, with pork	11	4
Peanuts, all types, dry-roasted, without salt	3	29
Beef, ground, 97% lean meat / 3% fat, crumbles, cooked, pan-browned	13	22
Tomatoes, red, ripe, raw, year round average	10	0
Cake, pound, commercially prepared, other than all butter, unenriched	12	3
Pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted	14	19
Beef, composite of trimmed retail cuts, separable lean only, trimmed to 1/8" fat, all grades, cooked	14	22
Cookies, chocolate chip, refrigerated dough, baked	11	2
Duck, domesticated, meat only, cooked, roasted	13	17
Beef, chuck, mock tender steak, separable lean and fat, trimmed to 0" fat, USDA choice, cooked, broiled	14	20
Onions, welsh, raw	7	1
Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt	10	6
Onions, frozen, chopped, cooked, boiled, drained, with salt	3	1
Lamb, New Zealand, imported, flap, boneless, separable lean and fat, cooked, braised	13	15
Fish, whitefish, mixed species, smoked	15	16
Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0" fat, all grades, raw	13	16
Cornmeal, degermed, enriched, white	4	2
Mungo beans, mature seeds, cooked, boiled, without salt	10	5
Lamb, shoulder, blade, separable lean and fat, trimmed to 1/4" fat, choice, raw	15	11
Fish, roughy, orange, cooked, dry heat	15	16
Babyfood, cereal, oatmeal, with bananas, dry	8	8
Celery, cooked, boiled, drained, without salt	15	0
Yogurt, Greek, 2% fat, mango, CHOBANI	24	3
Beef, round, top round steak, boneless, separable lean only, trimmed to 0" fat, choice, raw	14	19
Cheese substitute, mozzarella	21	5
Taquitos, frozen, chicken and cheese, oven-heated	10	5
Turkey, retail parts, thigh, meat only, cooked, roasted	16	19
Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0" fat, all grades, raw	13	14
Seeds, sesame meal, partially defatted	2	26
Fish, butterfish, raw	15	12
Lamb, shoulder, arm, separable lean only, trimmed to 1/4" fat, choice, raw	15	14
Nuts, walnuts, english	2	23
Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8" fat, raw	13	15
Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw	14	16
Lamb, New Zealand, imported, hind-shank, separable lean and fat, cooked, braised	13	22
Kohlrabi, cooked, boiled, drained, without salt	5	1
Nuts, acorns, raw	8	5
Snacks, pretzels, hard, whole-wheat including both salted and unsalted	5	6
Ostrich, round, raw	13	17
Broccoli, leaves, raw	10	2
Lamb, loin, separable lean only, trimmed to 1/4" fat, choice, cooked, broiled	15	20
Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw	14	15
Hearts of palm, canned	5	2
Frostings, vanilla, creamy, dry mix	6	0
Lamb, loin, separable lean and fat, trimmed to 1/4" fat, choice, cooked, roasted	15	15
Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0" fat, all grades, cooked, roasted	13	20
Yogurt, Greek, plain, lowfat	31	2
Snacks, potato chips, made from dried potatoes, reduced fat	13	3
Veal, variety meats and by-products, tongue, raw	13	11
Chicken, broilers or fryers, thigh, meat only, cooked, roasted	14	20
Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0" fat, choice, cooked, braised	14	18
Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8" fat, select, raw	14	19
Veal, variety meats and by-products, lungs, raw	+Inf	1
Fish, tuna, white, canned in water, drained solids	15	16
Fish, monkfish, raw	15	10
Fish, caviar, black and red, granular	12	18
Fish, ling, cooked, dry heat	15	17
Chicken, capons, giblets, raw	11	13
Chicken breast tenders, breaded, uncooked	12	9
Snacks, trail mix, tropical	4	6
