Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, grilled	1.3	4.3
Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk	2.0	0.3
Pork, fresh, shoulder, arm picnic, separable lean only, raw	1.4	3.1
Pork, cured, shoulder, arm picnic, separable lean only, roasted	1.3	3.7
Babyfood, meat, chicken, strained	1.2	2.1
Fish, turbot, european, raw	1.5	2.4
Lamb, ground, raw	1.5	2.4
Beef, ground, 97% lean meat / 3% fat, loaf, cooked, baked	1.3	4.1
Lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, choice, raw	1.5	2.6
Poultry, mechanically deboned, from mature hens, raw	1.3	2.3
Game meat, bison, ground, cooked, pan-broiled	1.4	3.8
Pork, cured, ham -- water added, rump, bone-in, separable lean only, unheated	1.3	2.3
Turkey, whole, light meat, raw	1.5	3.3
Beef, ground, 70% lean meat / 30% fat, raw	1.3	2.1
Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	1.3	3.4
Egg, whole, cooked, hard-boiled	1.2	1.6
Lamb, New Zealand, imported, chump, boneless, separable lean only, raw	1.3	3.3
Sweet potato leaves, cooked, steamed, with salt	+Inf	0.1
Cornmeal, yellow, self-rising, bolted, plain, enriched	0.6	0.6
VEGAN SHAKE	0.9	8.0
Couscous, dry	0.5	0.7
Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled	1.4	4.2
Babyfood, banana with mixed berries, strained	1.0	0.1
Veal, leg (top round), separable lean and fat, cooked, roasted	1.4	3.9
Game meat, bison, separable lean only, raw	1.3	3.0
Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8" fat, all grades, cooked, broiled	1.3	4.4
Chicken, broilers or fryers, rotisserie, original seasoning, wing, meat only, cooked	1.3	4.1
Snacks, oriental mix, rice-based	0.3	2.8
Quinoa, cooked	0.7	0.6
Peas and carrots, frozen, cooked, boiled, drained, without salt	0.8	0.4
Seeds, cottonseed kernels, roasted (glandless)	0.4	6.1
Doughnuts, cake-type, plain, chocolate-coated or frosted	1.0	0.5
Corn, sweet, yellow, cooked, boiled, drained, without salt	1.1	0.3
Lamb, shoulder, arm, separable lean and fat, trimmed to 1/8" fat, cooked, broiled	1.5	3.7
Beans, snap, green, raw	1.1	0.2
