Squash, winter, butternut, cooked, baked, without salt	6	1
Game meat, squirrel, raw	14	13
Milk, indian buffalo, fluid	25	1
Pork, ground, 96% lean / 4% fat, raw	13	16
Beef, New Zealand, imported, tenderloin, separable lean and fat, cooked, fast fried	12	22
Seeds, cottonseed flour, partially defatted (glandless)	4	57
Lima beans, immature seeds, canned, regular pack, solids and liquids	10	3
Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13	21
Crackers, whole-wheat, reduced fat	6	6
Chicken, broilers or fryers, drumstick, meat and skin, cooked, fried, flour	13	19
Beets, canned, regular pack, solids and liquids	10	0
BROWN RICE PROTEIN POWDER	4	60
Sweet rolls, cheese	12	3
Fish, tuna, yellowfin, fresh, cooked, dry heat	15	19
Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt	11	1
Corn, sweet, white, canned, cream style, no salt added	10	1
Lamb, Australian, imported, fresh, leg, shank half, separable lean and fat, trimmed to 1/8" fat, cooked, roasted	15	17
Beef, rib, shortribs, separable lean and fat, choice, cooked, braised	13	16
Peaches, canned, extra light syrup, solids and liquids (Includes foods for USDA's Food Distribution Program)	10	0
Seeds, breadfruit seeds, raw	12	5
Fish, halibut, Atlantic and Pacific, raw	15	14
Beef, ground, 95% lean meat / 5% fat, patty, cooked, pan-broiled	13	19
Okra, frozen, unprepared	9	1
Rice noodles, dry	4	5
Beef, composite of trimmed retail cuts, separable lean only, trimmed to 0" fat, all grades, raw	14	17
Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0" fat, all grades, cooked, grilled	14	23
Beef, rib, back ribs, bone-in, separable lean only, trimmed to 0" fat, all grades, cooked, braised	14	24
Peas and carrots, frozen, unprepared	8	3
Beef, loin, top sirloin cap steak, boneless, separable lean only, trimmed to 1/8" fat, all grades, raw	14	18
Fish, bass, fresh water, mixed species, raw	15	13
Beef, round, eye of round, roast, separable lean only, trimmed to 1/8" fat, select, raw	13	16
Babyfood, cereal, rice, dry fortified	5	7
Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0" fat, choice, raw	14	15
Fast foods, cheeseburger; single, large patty; plain	11	10
Pork, fresh, loin, center loin (chops), boneless, separable lean and fat, cooked, pan-broiled	14	20
Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8" fat, choice, raw	13	16
Chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised	12	19
Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted	14	20
Beef, Australian, imported, grass-fed, round, bottom round steak/roast, boneless, separable lean and fat, raw	13	16
Peppers, hot chili, red, raw	9	1
Yogurt, Greek, nonfat, lemon blend, CHOBANI	24	4
Cheese, cheddar (Includes foods for USDA's Food Distribution Program)	19	6
Pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, pan-fried	14	22
Babyfood, dinner, vegetables and beef, junior	11	2
Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8" fat, select, cooked, grilled	14	27
Croissants, apple	10	3
Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8" fat, choice, raw	13	17
Pork, cured, ham -- water added, shank, bone-in, separable lean and fat, heated, roasted	13	13
Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean only, trimmed to 0" fat, cooked, grilled	13	22
MILK, WHOLE 	23	1
Soup, egg drop, Chinese restaurant	17	0
Plantains, green, boiled	8	1
Fish, whitefish, dried (Alaska Native)	13	41
Veal, shoulder, arm, separable lean and fat, cooked, braised	14	22
Cucumber, with peel, raw	5	0
Nuts, macadamia nuts, raw	0	14
Lamb, Australian, imported, fresh, shoulder, whole (arm and blade), separable lean only, trimmed to 1/8" fat, cooked	15	18
Elderberries, raw	5	0
Veal, composite of trimmed retail cuts, separable fat, raw	14	4
Beverages, chocolate syrup, prepared with whole milk	19	1
Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0" fat, choice, cooked, braised	13	26
Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried	12	22
Pasta, gluten-free, corn, dry	6	4
Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, prime, raw	13	12
Soy sauce made from soy (tamari)	18	5
Chicken, broilers or fryers, skin only, cooked, stewed	8	13
Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil	13	16
Frostings, chocolate, creamy, dry mix, prepared with margarine	8	1
Chicken, broilers or fryers, neck, meat and skin, cooked simmered	11	15
Beans, snap, yellow, frozen, cooked, boiled, drained, without salt	12	1
Corn, sweet, white, cooked, boiled, drained, with salt	11	1
Lamb, New Zealand, imported, frozen, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, cooked	15	17
Chicken, roasting, meat and skin and giblets and neck, cooked, roasted	13	17
Lamb, Australian, imported, fresh, rib chop, frenched, denuded, bone-in, separable lean and fat, trimmed to 0" fat, cooked, grilled	13	21
Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted	13	10
Turkey, retail parts, breast, meat and skin, cooked, roasted	16	21
Lamb, Australian, imported, fresh, seam fat, raw	13	10
Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13	20
Lamb, New Zealand, imported, ground lamb, cooked, braised	13	17
Cheese, camembert	25	9
Lamb, shoulder, arm, separable lean only, trimmed to 1/4" fat, choice, raw	15	14
Nuts, acorns, dried	8	7
Dill weed, fresh	17	2
Lamb, New Zealand, imported, testes, cooked, soaked and fried	13	16
Beef, round, top round, steak, separable lean and fat, trimmed to 1/8" fat, select, raw	13	16
Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, grilled	13	20
Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13	17
Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0" fat, choice, raw	14	17
Beans, small white, mature seeds, cooked, boiled, without salt	11	6
Babyfood, cereal, mixed, with bananas, dry	9	5
Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, roasted	14	21
Bratwurst, beef and pork, smoked	12	8
Onions, frozen, whole, unprepared	3	1
Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised	14	20
